package	version	date	location	dependencies
lobstr	1.1.3		CRAN	crayon,methods,prettyunits,rlang,cpp11
lubridate	1.9.4		CRAN	methods,generics,timechange
magrittr	2.0.4		CRAN	
maps	3.4.3		CRAN	graphics,utils
mass	NA		NOT-FOUND	
matrix	NA		NOT-FOUND	
memoise	2.0.1		CRAN	rlang,cachem
mgcv	1.9-4		CRAN	nlme,methods,stats,graphics,Matrix,splines,utils
mime	0.13		CRAN	tools
modelmetrics	NA		NOT-FOUND	
modelr	0.1.11		CRAN	broom,magrittr,purrr,rlang,tibble,tidyr,tidyselect,vctrs
munsell	0.5.1		CRAN	colorspace,methods
nlme	3.1-168		CRAN	graphics,stats,utils,lattice
nnet	7.3-20		CRAN	stats,utils
numderiv	NA		NOT-FOUND	
otel	0.2.0		CRAN	
parallelly	1.46.1		CRAN	parallel,tools,utils
pbdzmq	NA		NOT-FOUND	
pillar	1.11.1		CRAN	cli,glue,lifecycle,rlang,utf8,utils,vctrs
pkgconfig	2.0.3		CRAN	utils
plogr	0.2.0		CRAN	
plyr	1.8.9		CRAN	Rcpp
prettyunits	1.2.0		CRAN	
proc	NA		NOT-FOUND	
processx	3.8.6		CRAN	ps,R6,utils
prodlim	2025.04.28		CRAN	Rcpp,stats,rlang,data.table,grDevices,ggplot2,graphics,diagram,survival,KernSmooth,lava
progress	1.2.3		CRAN	crayon,hms,prettyunits,R6
progressr	0.18.0		CRAN	digest,utils
promises	1.5.0		CRAN	fastmap,later,lifecycle,magrittr,otel,R6,rlang
proxy	0.4-29		CRAN	stats,utils
pryr	0.1.6		CRAN	codetools,lobstr,methods,Rcpp,stringr
ps	1.9.1		CRAN	utils
purrr	1.2.1		CRAN	cli,lifecycle,magrittr,rlang,vctrs
quantmod	0.4.28		CRAN	xts,zoo,TTR,methods,curl,jsonlite
r6	NA		NOT-FOUND	
ragg	1.5.0		CRAN	systemfonts,textshaping
randomforest	NA		NOT-FOUND	
rappdirs	0.3.4		CRAN	
rbokeh	0.5.2	2021-08-04 00:40:02 UTC	CRAN-ARCHIVED	htmlwidgets (>= 0.5), maps, methods, jsonlite, digest, hexbin,
lazyeval, pryr, magrittr, scales, gistr
rcolorbrewer	NA		NOT-FOUND	
rcpp	NA		NOT-FOUND	
rcppeigen	NA		NOT-FOUND	
readr	2.1.6		CRAN	cli,clipr,crayon,hms,lifecycle,methods,R6,rlang,tibble,utils,vroom,cpp11,tzdb
readxl	1.4.5		CRAN	cellranger,tibble,utils,cpp11,progress
recipes	1.3.1		CRAN	dplyr,cli,clock,generics,glue,gower,hardhat,ipred,lifecycle,lubridate,magrittr,Matrix,purrr,rlang,sparsevctrs,stats,tibble,tidyr,tidyselect,timeDate,utils,vctrs,withr
recommended	NA		NOT-FOUND	
rematch2	2.1.2		CRAN	tibble
rematch	2.0.0		CRAN	
remotes	2.5.0		CRAN	methods,stats,tools,utils
repr	1.1.7		CRAN	utils,grDevices,htmltools,jsonlite,pillar,base64enc
reprex	2.1.1		CRAN	callr,cli,clipr,fs,glue,knitr,lifecycle,rlang,rmarkdown,rstudioapi,utils,withr
reshape2	1.4.5		CRAN	plyr,Rcpp,stringr
rlang	1.1.7		CRAN	utils
